split,tile_id,fold_id,region_id,labelpack_path,label_available,s2_dir_path,s2_ref_path,s2_first_year,s2_first_month,s2_last_year,s2_last_month,s2_file_count_local,s2_file_count_remote,s2_complete,s1_dir_path,s1_first_path,s1_file_count_local,s1_file_count_remote,s1_complete,aef_first_path,aef_file_count_local,aef_file_count_remote,aef_complete,all_modalities_complete
test,18NVJ_1_6,,18NVJ,,0,data/makeathon-challenge/sentinel-2/test/18NVJ_1_6__s2_l2a,data/makeathon-challenge/sentinel-2/test/18NVJ_1_6__s2_l2a/18NVJ_1_6__s2_l2a_2020_1.tif,2020,1,2025,12,71,71,1,data/makeathon-challenge/sentinel-1/test/18NVJ_1_6__s1_rtc,data/makeathon-challenge/sentinel-1/test/18NVJ_1_6__s1_rtc/18NVJ_1_6__s1_rtc_2020_1_ascending.tif,101,101,1,data/makeathon-challenge/aef-embeddings/test/18NVJ_1_6_2020.tiff,6,6,1,1
test,18NYH_2_1,,18NYH,,0,data/makeathon-challenge/sentinel-2/test/18NYH_2_1__s2_l2a,data/makeathon-challenge/sentinel-2/test/18NYH_2_1__s2_l2a/18NYH_2_1__s2_l2a_2020_1.tif,2020,1,2025,12,70,70,1,data/makeathon-challenge/sentinel-1/test/18NYH_2_1__s1_rtc,data/makeathon-challenge/sentinel-1/test/18NYH_2_1__s1_rtc/18NYH_2_1__s1_rtc_2020_1_ascending.tif,102,102,1,data/makeathon-challenge/aef-embeddings/test/18NYH_2_1_2020.tiff,6,6,1,1
test,33NTE_5_1,,33NTE,,0,data/makeathon-challenge/sentinel-2/test/33NTE_5_1__s2_l2a,data/makeathon-challenge/sentinel-2/test/33NTE_5_1__s2_l2a/33NTE_5_1__s2_l2a_2020_1.tif,2020,1,2025,12,72,72,1,data/makeathon-challenge/sentinel-1/test/33NTE_5_1__s1_rtc,data/makeathon-challenge/sentinel-1/test/33NTE_5_1__s1_rtc/33NTE_5_1__s1_rtc_2020_1_ascending.tif,73,73,1,data/makeathon-challenge/aef-embeddings/test/33NTE_5_1_2020.tiff,6,6,1,1
test,47QMA_6_2,,47QMA,,0,data/makeathon-challenge/sentinel-2/test/47QMA_6_2__s2_l2a,data/makeathon-challenge/sentinel-2/test/47QMA_6_2__s2_l2a/47QMA_6_2__s2_l2a_2021_1.tif,2021,1,2025,12,60,60,1,data/makeathon-challenge/sentinel-1/test/47QMA_6_2__s1_rtc,data/makeathon-challenge/sentinel-1/test/47QMA_6_2__s1_rtc/47QMA_6_2__s1_rtc_2020_1_ascending.tif,143,143,1,data/makeathon-challenge/aef-embeddings/test/47QMA_6_2_2020.tiff,6,6,1,1
test,48PWA_0_6,,48PWA,,0,data/makeathon-challenge/sentinel-2/test/48PWA_0_6__s2_l2a,data/makeathon-challenge/sentinel-2/test/48PWA_0_6__s2_l2a/48PWA_0_6__s2_l2a_2020_1.tif,2020,1,2025,12,70,70,1,data/makeathon-challenge/sentinel-1/test/48PWA_0_6__s1_rtc,data/makeathon-challenge/sentinel-1/test/48PWA_0_6__s1_rtc/48PWA_0_6__s1_rtc_2020_1_ascending.tif,144,144,1,data/makeathon-challenge/aef-embeddings/test/48PWA_0_6_2020.tiff,6,6,1,1
train,18NWG_6_6,0.0,18NWG,artifacts/labels_v1/tiles/18NWG_6_6_labelpack.tif,1,data/makeathon-challenge/sentinel-2/train/18NWG_6_6__s2_l2a,data/makeathon-challenge/sentinel-2/train/18NWG_6_6__s2_l2a/18NWG_6_6__s2_l2a_2020_1.tif,2020,1,2025,12,72,72,1,data/makeathon-challenge/sentinel-1/train/18NWG_6_6__s1_rtc,data/makeathon-challenge/sentinel-1/train/18NWG_6_6__s1_rtc/18NWG_6_6__s1_rtc_2020_1_ascending.tif,102,102,1,data/makeathon-challenge/aef-embeddings/train/18NWG_6_6_2020.tiff,6,6,1,1
train,18NWH_1_4,1.0,18NWH,artifacts/labels_v1/tiles/18NWH_1_4_labelpack.tif,1,data/makeathon-challenge/sentinel-2/train/18NWH_1_4__s2_l2a,data/makeathon-challenge/sentinel-2/train/18NWH_1_4__s2_l2a/18NWH_1_4__s2_l2a_2020_1.tif,2020,1,2025,12,72,72,1,data/makeathon-challenge/sentinel-1/train/18NWH_1_4__s1_rtc,data/makeathon-challenge/sentinel-1/train/18NWH_1_4__s1_rtc/18NWH_1_4__s1_rtc_2020_1_ascending.tif,102,102,1,data/makeathon-challenge/aef-embeddings/train/18NWH_1_4_2020.tiff,6,6,1,1
train,18NWJ_8_9,2.0,18NWJ,artifacts/labels_v1/tiles/18NWJ_8_9_labelpack.tif,1,data/makeathon-challenge/sentinel-2/train/18NWJ_8_9__s2_l2a,data/makeathon-challenge/sentinel-2/train/18NWJ_8_9__s2_l2a/18NWJ_8_9__s2_l2a_2020_1.tif,2020,1,2025,12,71,71,1,data/makeathon-challenge/sentinel-1/train/18NWJ_8_9__s1_rtc,data/makeathon-challenge/sentinel-1/train/18NWJ_8_9__s1_rtc/18NWJ_8_9__s1_rtc_2020_1_ascending.tif,102,102,1,data/makeathon-challenge/aef-embeddings/train/18NWJ_8_9_2020.tiff,6,6,1,1
train,18NWM_9_4,0.0,18NWM,artifacts/labels_v1/tiles/18NWM_9_4_labelpack.tif,1,data/makeathon-challenge/sentinel-2/train/18NWM_9_4__s2_l2a,data/makeathon-challenge/sentinel-2/train/18NWM_9_4__s2_l2a/18NWM_9_4__s2_l2a_2020_1.tif,2020,1,2025,12,72,72,1,data/makeathon-challenge/sentinel-1/train/18NWM_9_4__s1_rtc,data/makeathon-challenge/sentinel-1/train/18NWM_9_4__s1_rtc/18NWM_9_4__s1_rtc_2020_1_descending.tif,70,70,1,data/makeathon-challenge/aef-embeddings/train/18NWM_9_4_2020.tiff,6,6,1,1
train,18NXH_6_8,1.0,18NXH,artifacts/labels_v1/tiles/18NXH_6_8_labelpack.tif,1,data/makeathon-challenge/sentinel-2/train/18NXH_6_8__s2_l2a,data/makeathon-challenge/sentinel-2/train/18NXH_6_8__s2_l2a/18NXH_6_8__s2_l2a_2020_1.tif,2020,1,2025,12,71,71,1,data/makeathon-challenge/sentinel-1/train/18NXH_6_8__s1_rtc,data/makeathon-challenge/sentinel-1/train/18NXH_6_8__s1_rtc/18NXH_6_8__s1_rtc_2020_1_ascending.tif,102,102,1,data/makeathon-challenge/aef-embeddings/train/18NXH_6_8_2020.tiff,6,6,1,1
train,18NXJ_7_6,2.0,18NXJ,artifacts/labels_v1/tiles/18NXJ_7_6_labelpack.tif,1,data/makeathon-challenge/sentinel-2/train/18NXJ_7_6__s2_l2a,data/makeathon-challenge/sentinel-2/train/18NXJ_7_6__s2_l2a/18NXJ_7_6__s2_l2a_2020_1.tif,2020,1,2025,12,72,72,1,data/makeathon-challenge/sentinel-1/train/18NXJ_7_6__s1_rtc,data/makeathon-challenge/sentinel-1/train/18NXJ_7_6__s1_rtc/18NXJ_7_6__s1_rtc_2020_1_ascending.tif,102,102,1,data/makeathon-challenge/aef-embeddings/train/18NXJ_7_6_2020.tiff,6,6,1,1
train,18NYH_9_9,0.0,18NYH,artifacts/labels_v1/tiles/18NYH_9_9_labelpack.tif,1,data/makeathon-challenge/sentinel-2/train/18NYH_9_9__s2_l2a,data/makeathon-challenge/sentinel-2/train/18NYH_9_9__s2_l2a/18NYH_9_9__s2_l2a_2020_1.tif,2020,1,2025,12,72,72,1,data/makeathon-challenge/sentinel-1/train/18NYH_9_9__s1_rtc,data/makeathon-challenge/sentinel-1/train/18NYH_9_9__s1_rtc/18NYH_9_9__s1_rtc_2020_1_ascending.tif,102,102,1,data/makeathon-challenge/aef-embeddings/train/18NYH_9_9_2020.tiff,6,6,1,1
train,19NBD_4_4,1.0,19NBD,artifacts/labels_v1/tiles/19NBD_4_4_labelpack.tif,1,data/makeathon-challenge/sentinel-2/train/19NBD_4_4__s2_l2a,data/makeathon-challenge/sentinel-2/train/19NBD_4_4__s2_l2a/19NBD_4_4__s2_l2a_2020_1.tif,2020,1,2025,12,72,72,1,data/makeathon-challenge/sentinel-1/train/19NBD_4_4__s1_rtc,data/makeathon-challenge/sentinel-1/train/19NBD_4_4__s1_rtc/19NBD_4_4__s1_rtc_2020_1_ascending.tif,59,59,1,data/makeathon-challenge/aef-embeddings/train/19NBD_4_4_2020.tiff,6,6,1,1
train,47QMB_0_8,2.0,47QMB,artifacts/labels_v1/tiles/47QMB_0_8_labelpack.tif,1,data/makeathon-challenge/sentinel-2/train/47QMB_0_8__s2_l2a,data/makeathon-challenge/sentinel-2/train/47QMB_0_8__s2_l2a/47QMB_0_8__s2_l2a_2020_1.tif,2020,1,2025,12,72,72,1,data/makeathon-challenge/sentinel-1/train/47QMB_0_8__s1_rtc,data/makeathon-challenge/sentinel-1/train/47QMB_0_8__s1_rtc/47QMB_0_8__s1_rtc_2020_1_ascending.tif,143,143,1,data/makeathon-challenge/aef-embeddings/train/47QMB_0_8_2020.tiff,6,6,1,1
train,47QQV_2_4,0.0,47QQV,artifacts/labels_v1/tiles/47QQV_2_4_labelpack.tif,1,data/makeathon-challenge/sentinel-2/train/47QQV_2_4__s2_l2a,data/makeathon-challenge/sentinel-2/train/47QQV_2_4__s2_l2a/47QQV_2_4__s2_l2a_2020_1.tif,2020,1,2025,12,72,72,1,data/makeathon-challenge/sentinel-1/train/47QQV_2_4__s1_rtc,data/makeathon-challenge/sentinel-1/train/47QQV_2_4__s1_rtc/47QQV_2_4__s1_rtc_2020_1_ascending.tif,144,144,1,data/makeathon-challenge/aef-embeddings/train/47QQV_2_4_2020.tiff,6,6,1,1
train,48PUT_0_8,1.0,48PUT,artifacts/labels_v1/tiles/48PUT_0_8_labelpack.tif,1,data/makeathon-challenge/sentinel-2/train/48PUT_0_8__s2_l2a,data/makeathon-challenge/sentinel-2/train/48PUT_0_8__s2_l2a/48PUT_0_8__s2_l2a_2020_1.tif,2020,1,2025,12,72,72,1,data/makeathon-challenge/sentinel-1/train/48PUT_0_8__s1_rtc,data/makeathon-challenge/sentinel-1/train/48PUT_0_8__s1_rtc/48PUT_0_8__s1_rtc_2020_1_ascending.tif,142,142,1,data/makeathon-challenge/aef-embeddings/train/48PUT_0_8_2020.tiff,6,6,1,1
train,48PWV_7_8,2.0,48PWV,artifacts/labels_v1/tiles/48PWV_7_8_labelpack.tif,1,data/makeathon-challenge/sentinel-2/train/48PWV_7_8__s2_l2a,data/makeathon-challenge/sentinel-2/train/48PWV_7_8__s2_l2a/48PWV_7_8__s2_l2a_2020_1.tif,2020,1,2025,12,72,72,1,data/makeathon-challenge/sentinel-1/train/48PWV_7_8__s1_rtc,data/makeathon-challenge/sentinel-1/train/48PWV_7_8__s1_rtc/48PWV_7_8__s1_rtc_2020_1_ascending.tif,143,143,1,data/makeathon-challenge/aef-embeddings/train/48PWV_7_8_2020.tiff,6,6,1,1
train,48PXC_7_7,0.0,48PXC,artifacts/labels_v1/tiles/48PXC_7_7_labelpack.tif,1,data/makeathon-challenge/sentinel-2/train/48PXC_7_7__s2_l2a,data/makeathon-challenge/sentinel-2/train/48PXC_7_7__s2_l2a/48PXC_7_7__s2_l2a_2020_1.tif,2020,1,2025,12,72,72,1,data/makeathon-challenge/sentinel-1/train/48PXC_7_7__s1_rtc,data/makeathon-challenge/sentinel-1/train/48PXC_7_7__s1_rtc/48PXC_7_7__s1_rtc_2020_1_ascending.tif,214,214,1,data/makeathon-challenge/aef-embeddings/train/48PXC_7_7_2020.tiff,6,6,1,1
train,48PYB_3_6,1.0,48PYB,artifacts/labels_v1/tiles/48PYB_3_6_labelpack.tif,1,data/makeathon-challenge/sentinel-2/train/48PYB_3_6__s2_l2a,data/makeathon-challenge/sentinel-2/train/48PYB_3_6__s2_l2a/48PYB_3_6__s2_l2a_2020_1.tif,2020,1,2025,12,72,72,1,data/makeathon-challenge/sentinel-1/train/48PYB_3_6__s1_rtc,data/makeathon-challenge/sentinel-1/train/48PYB_3_6__s1_rtc/48PYB_3_6__s1_rtc_2020_1_ascending.tif,203,203,1,data/makeathon-challenge/aef-embeddings/train/48PYB_3_6_2020.tiff,6,6,1,1
train,48QVE_3_0,2.0,48QVE,artifacts/labels_v1/tiles/48QVE_3_0_labelpack.tif,1,data/makeathon-challenge/sentinel-2/train/48QVE_3_0__s2_l2a,data/makeathon-challenge/sentinel-2/train/48QVE_3_0__s2_l2a/48QVE_3_0__s2_l2a_2020_1.tif,2020,1,2025,12,72,72,1,data/makeathon-challenge/sentinel-1/train/48QVE_3_0__s1_rtc,data/makeathon-challenge/sentinel-1/train/48QVE_3_0__s1_rtc/48QVE_3_0__s1_rtc_2020_1_ascending.tif,141,141,1,data/makeathon-challenge/aef-embeddings/train/48QVE_3_0_2020.tiff,6,6,1,1
train,48QWD_2_2,0.0,48QWD,artifacts/labels_v1/tiles/48QWD_2_2_labelpack.tif,1,data/makeathon-challenge/sentinel-2/train/48QWD_2_2__s2_l2a,data/makeathon-challenge/sentinel-2/train/48QWD_2_2__s2_l2a/48QWD_2_2__s2_l2a_2020_1.tif,2020,1,2025,12,72,72,1,data/makeathon-challenge/sentinel-1/train/48QWD_2_2__s1_rtc,data/makeathon-challenge/sentinel-1/train/48QWD_2_2__s1_rtc/48QWD_2_2__s1_rtc_2020_1_ascending.tif,141,141,1,data/makeathon-challenge/aef-embeddings/train/48QWD_2_2_2020.tiff,6,6,1,1
